id,image_name,prominent_color,color_category
1,61lNaWHagaL._AC_SX679_.jpg,"(80, 88, 82)",Dark
2,81ZQsBqM-XL._AC_SY879_.jpg,"(29, 29, 29)",Dark
3,61o2AL5yQJL._AC_SX679_.jpg,"(173, 219, 224)",Light
4,61Cp6Vd-xHL._AC_SX679_.jpg,"(69, 105, 129)",Dark
5,81T7AauIgsL._AC_SX679_.jpg,"(44, 54, 103)",Dark
6,71E3FxE7VhL._AC_SX679_.jpg,"(183, 175, 160)",Medium
7,618bQ2ZLK0L._AC_SY879_.jpg,"(25, 42, 73)",Dark
8,71gHGDonDCL._AC_SX679_.jpg,"(127, 136, 148)",Medium
9,71gDY62mqdL._AC_SX679_.jpg,"(47, 120, 183)",Medium
10,61xdX5s4YNL._AC_SX679_.jpg,"(174, 165, 153)",Medium
11,71Bx-NeEIPL._AC_SX679_.jpg,"(13, 140, 108)",Dark
12,61V1AxnwwlL._AC_SX679_.jpg,"(176, 221, 174)",Light
13,61tiQLX6sWL._AC_SX679_.jpg,"(204, 145, 71)",Medium
14,612fokPSbML._AC_SX679_.jpg,"(252, 236, 225)",Light
15,71+E3ROXusL._AC_SX679_.jpg,"(107, 39, 71)",Dark
16,71NQqqg+cqL._AC_SX679_.jpg,"(212, 82, 87)",Medium
17,81YtS62wlJL._AC_SX679_.jpg,"(144, 144, 147)",Medium
18,71kuiEOpkDL._AC_SX679_.jpg,"(61, 74, 113)",Dark
