id,image_name,prominent_color,color_category
1,71sSVi1PyxL._AC_SX679_.jpg,"(220, 176, 64)",Medium
2,61irHZT8HL._AC_SX679_.jpg,"(244, 239, 225)",Light
3,71PhPUajjL._AC_SX679_.jpg,"(22, 25, 43)",Dark
4,519XAJk62cS._AC_SX679_.jpg,"(41, 35, 38)",Dark
5,71glyG4XEuL._AC_SX679_.jpg,"(169, 170, 172)",Medium
6,81q4gLldEFL._AC_SY879_.jpg,"(56, 51, 56)",Dark
7,81CQPPISGXL._AC_SY879_.jpg,"(133, 80, 64)",Dark
8,611Sxz0yd9L._AC_SY879_-2.jpg,"(181, 157, 140)",Medium
9,61nlTphnAZL._AC_SX679_-2.jpg,"(26, 25, 30)",Dark
10,61An8yGN2ZL._AC_SX679_.jpg,"(6, 19, 40)",Dark
11,611Sxz0yd9L._AC_SY879_.jpg,"(181, 157, 140)",Medium
12,61o3T7S5scL._AC_SX679_.jpg,"(0, 0, 0)",Dark
13,711U3cPFP0L._AC_SY879_.jpg,"(36, 44, 62)",Dark
14,61nlTphnAZL._AC_SX679_.jpg,"(26, 25, 30)",Dark
15,711Av-deLL._AC_SX679_.jpg,"(33, 34, 38)",Dark
16,61mzaAzQbxL._AC_SY879_.jpg,"(91, 99, 73)",Dark
17,71c-RsXYe-L._AC_SX679_.jpg,"(139, 91, 65)",Medium
18,61or5uEcd8L._AC_SY879_.jpg,"(25, 31, 51)",Dark
19,7191BmFHgbL._AC_SY879_.jpg,"(202, 42, 55)",Dark
20,610VqMjwakL._AC_SX679_.jpg,"(164, 163, 158)",Medium
21,61t1ZscZOpL._AC_SY879_.jpg,"(169, 159, 162)",Medium
22,718wkZKinQL._AC_SX679_.jpg,"(20, 22, 21)",Dark
23,51CdHYPhJIL._AC_SY879_.jpg,"(45, 44, 49)",Dark
24,61dJm47BiPL._AC_SY879_.jpg,"(92, 91, 96)",Dark
25,61fF7ZDkOLL._AC_SY879_.jpg,"(43, 44, 56)",Dark
26,616N8GmYL._AC_SY879_.jpg,"(36, 36, 36)",Dark
