id,image_name,prominent_color,color_category
1,61lNaWHagaL._AC_SX679_.jpg,"(80, 88, 82)",Dark
2,6192XGWhUfL._AC_SY879_.jpg,"(77, 102, 142)",Dark
3,81ZQsBqM-XL._AC_SY879_.jpg,"(29, 29, 29)",Dark
4,61o2AL5yQJL._AC_SX679_.jpg,"(173, 219, 224)",Light
5,61Cp6Vd-xHL._AC_SX679_.jpg,"(69, 105, 129)",Dark
6,81T7AauIgsL._AC_SX679_.jpg,"(44, 54, 103)",Dark
7,619H-aS3iKL._AC_SX679_.jpg,"(0, 0, 0)",Dark
8,71E3FxE7VhL._AC_SX679_.jpg,"(183, 175, 160)",Medium
9,71NQqqgcqL._AC_SX679_.jpg,"(212, 82, 87)",Medium
10,618bQ2ZLK0L._AC_SY879_.jpg,"(25, 42, 73)",Dark
11,71gHGDonDCL._AC_SX679_.jpg,"(127, 136, 148)",Medium
12,71gDY62mqdL._AC_SX679_.jpg,"(47, 120, 183)",Medium
13,61xdX5s4YNL._AC_SX679_.jpg,"(174, 165, 153)",Medium
14,71Bx-NeEIPL._AC_SX679_.jpg,"(13, 140, 108)",Dark
15,61V1AxnwwlL._AC_SX679_.jpg,"(176, 221, 174)",Light
16,61tiQLX6sWL._AC_SX679_.jpg,"(204, 145, 71)",Medium
17,612fokPSbML._AC_SX679_.jpg,"(252, 236, 225)",Light
18,51RAuMbQpL._AC_SY879_.jpg,"(22, 26, 45)",Dark
19,61AVk2EasxL._AC_SY879_.jpg,"(90, 99, 82)",Dark
20,61xvNlCXGwL._AC_SY879_.jpg,"(77, 81, 89)",Dark
21,71E3ROXusL._AC_SX679_.jpg,"(107, 39, 71)",Dark
22,81YtS62wlJL._AC_SX679_.jpg,"(144, 144, 147)",Medium
23,71kuiEOpkDL._AC_SX679_.jpg,"(61, 74, 113)",Dark
